UserName,Text,RetweetCount,Timestamp
Mossos,Frustrem el furt d’un rellotge valorat en 3.000 € a Girona pel mètode conegut com a teletubbie. Detectem dues dones vigilant possibles víctimes per la zona comercial. En el moment que li volen treure el rellotge del canell a una dona actuem i les detenim,13,2023-06-05T16:21:02.000Z
Mossos,Aquestes són algunes de les eines que els lladres fan servir per forçar els panys  i entrar a robar als domicilis. Si tanquem la porta amb doble volta de clau quan sortim de casa els hi posarem més difícil  #LlarSegura,34,2023-06-05T15:10:15.000Z
Mossos,"És #OperacióTornada. Abans de sortir, informa't de l'estat del 
@transit
. Condueix amb prudència i respecta el límit de velocitat i la normativa #VolemQueTornis",3,2023-06-05T14:07:13.000Z
Mossos,Èxit del dispositiu policial pel Gran Premi de Fórmula 1 al Circuit de Barcelona – Catalunya. Una peça clau del dispositiu ha estat la coordinació amb els vigilants de seguretat del propi Circuit i les diferents policies locals dels municipis limítrofs,4,2023-06-05T13:33:56.000Z
Mossos,"Avui 5 de juny se celebra el dia Mundial del Medi Ambient. Durant tot l'any, investiguem arreu de Catalunya i en coordinació amb 
@agentsruralscat
  aquelles accions que el poden malmetre. Ens hi va el futur
 #DiaMundialdelMediAmbient",11,2023-06-05T10:25:47.000Z
Mossos,Avui #OperacióTornada després d'un cap de setmana de tres dies. Despleguem les unitats de Trànsit a les carreteres per vetllar per una tornada sense incidents #VolemQueTornis,3,2023-06-05T08:00:06.000Z
Mossos,"Si ets víctima de #violènciamasclista, domèstica o d’algun fet motivat per l’odi o la discriminació, pots escriure'ns un correu o un Whatsapp. T’assessorarem i resoldrem els teus dubtes. En cas de fer denúncia, farem seguiment del teu cas #25AnysGAV",15,2023-06-05T05:22:39.000Z
Mossos," Supervisió i acompanyament de les famílies en l'ús d'internet
 Evitar la sobreexposició i el contingut inadequat

Són dos dels temes que vam tractar en la taula rodona ""Acompanya'm a la xarxa"", un projecte que hem ideat amb 
@granollers",5,2023-06-04T18:30:56.000Z
Mossos,"Despleguem un dispositiu a la plaça de Sant Jaume perquè pugueu gaudir de la celebració del títol de 
@UWCL
 aconseguit pel 
@FCBfemeni
 

Celebreu-ho amb respecte i seguretat #UWCLfinal #UWCL",8,2023-06-04T16:32:41.000Z
Mossos,"Els efectius de l'ARRO desplegats al 
@Circuitcat_cat
 per al Gran Premi de 
@F1
 vetllen per la seguretat de tot el públic. Des de peu de pista, no perden de vista la graderia",3,2023-06-04T14:05:41.000Z
Mossos,"El desmantellament d'una plantació de marihuana és el fruit d'una llarga investigació.  Voleu saber com s'organitza el dispositiu i com intervenim? En aquest article de 
@elnacionalcat
 ho podreu veure ",9,2023-06-04T10:43:25.000Z
Mossos,"We start the security measures to ensure security at the 
@Circuitcat_cat
 for the 
@F1
 Grand Prix. We will have the Kuppel system operational to prevent the intrusion of unauthorized drones, and there will also be two teams of drones for surveillance #F1",3,2023-06-04T09:35:59.000Z
Mossos," Iniciem el dispositiu per vetllar per la seguretat al 
@Circuitcat_cat
 pel Gran Premi de 
@F1
. Tindrem el sistema Kuppel operatiu per evitar la intrusió de drons no autortizats i també hi haurà dos equips de drons per a vigilància #F1",13,2023-06-04T09:35:19.000Z
Mossos,"Desmantellem a Barcelona un laboratori de fabricació de dolços amb cànnabis. Detenim els seus 4 responsables, que també cultivaven marihuana al mateix local https://gen.cat/43ka5ML",25,2023-06-04T08:43:44.000Z
Mossos," We start the day from the 
@Circuitcat_cat
 where 
@F1
 Grand Prix is held. If you come, be attentive so as not to lose your toddlers. #F1 ",2,2023-06-04T07:54:43.000Z
Mossos," Avui comencem el dia des del 
@Circuitcat_cat
 on es disputa el Gran Premi de 
@F1
. Si hi vas, vigila no es perdin els més petits de la casa #F1 ",7,2023-06-04T07:38:57.000Z
Mossos,"Cada dia som al 
@Primavera_Sound
 perquè puguis gaudir dels espectacles amb seguretat. Si ens necessites, contacta amb el 
@112
  Tenim un dispositiu especial per atendre't ràpidament",7,2023-06-03T18:53:07.000Z
Mossos,"We are working for the security of the 
@F1
 Grand Prix, which is held at 
@Circuitcat_cat
 this weekend #F1",7,2023-06-03T18:05:04.000Z
UserName,Text,RetweetCount,Timestamp
Mossos,"Desmantellem amb 
@policia
 un grup criminal especialitzat en els robatoris en cases d'urbanitzacions, a qui atribuïm 23 robatoris a poblacions arreu de Catalunya. Dels 8 detinguts, 7 han entrat a presó després de passar a disposició judicial https://gen.cat/3P4RaRU",9,2023-06-09T07:36:18.000Z
Mossos,"Dispositiu en marxa de la CGINF i la CGIC contra una organització criminal vinculada a grups radicals en l'àmbit de l'esport. S'estan duent a terme entrades i perquisicions i es preveuen diverses detencions, principalment a l'Àrea Metropolitana de Barcelona",53,2023-06-09T05:44:20.000Z
Mossos," Activem un dispositiu per garantir la seguretat al voltant de l’Estadi Olímpic amb motiu del concert de 
@Beyonce
 
El dispositiu també està destinat a evitar la venda d’entrades falses
 Compra sempre les teves entrades a través de canals autoritzats",12,2023-06-08T20:11:52.000Z
Mossos,Hem fet una reunió extraordinària de la Taula de Coordinació Regional del Pla de Violències Sexuals per analitzar els darrers casos a Badalona.  Des del juliol de l'any passat fins ara s'han denunciat vuit agressions sexuals entre menors amb participació de més d'un autor,11,2023-06-08T16:51:13.000Z
Mossos,"Tots els casos estan resolts, si bé algunes investigacions estan obertes per determinar la participació de més implicats en algun fet concret. Quatre dels casos han passat en entorns d'oci i la resta en altres espais de la ciutat https://n9.cl/5x7lp",1,2023-06-08T17:05:44.000Z
Mossos,Hem activat patrullatges preventius de paisà i uniformats. S'ha millorat la interlocució i coordinació amb la seguretat privada i s'han realitzat una cinquantena de xerrades preventives sobre violències sexuals en escoles a 1.380 alumnes d'entre 12 i 18 anys de Badalona,1,2023-06-08T17:44:59.000Z
Mossos," Continuem amb el dispositiu de seguretat per la 
@lapatum
 coordinats amb la Policia Local 
@AjuntamentBerga
 i els patumaires ens han dedicat un salt de Maces. Moltes gràcies, seguim treballant! #Patum",8,2023-06-08T14:49:00.000Z
Mossos,"Detenim cinc homes a Miralcamp per tres robatoris amb força en domicilis de la Noguera. Es van recuperar més de 9.000 euros, joies i aparelles electrònics",11,2023-06-08T13:52:12.000Z
Mossos,Dos agents que estan fent un control a Montmaneu (Anoia) aturen un vehicle i veuen que hi ha una dona a punt de donar a llum. L’acompanyen a l’hospital i avisen els serveis mèdics perquè estiguin preparats. Tot va anar bé i dies després els han visitat #SomMossos,19,2023-06-08T10:51:38.000Z
Mossos,"Detectem dues persones amb actitud sospitosa carregant una furgoneta amb motxilles voluminoses a Nou Barris (BCN). Quan els identifiquem, veiem que porten objectes de valor i dispositius electrònics i no en poden acreditar la procedència. Els detenim per un delicte de furt",22,2023-06-08T06:50:13.000Z
Mossos,"Desallotgem sense incidents els assistents de la festa il·legal d’Ivars de Noguera amb el següent balanç:

 1 detingut per atemptat i danys
 Identifiquem organitzadors
 Intervenim equips de so
  7 actes per tinença de substàncies
 Denunciem 20 conductors per  drogues",13,2023-06-07T18:00:57.000Z
Mossos,"Denunciem el conductor d'aquest camió per fer un ús inadequat dels carrils de circulació a l'AP-7 a Vilobí d'Onyar.

Recorda que cal circular pel carril de la dreta i adequar la velocitat en funció del tipus de vehicle i via",24,2023-06-07T15:37:45.000Z
Mossos," Operació conjunta amb 
@GUBBarcelona
 per desmantellar un punt de venda de drogues a Sant Martí que causava moltes molèsties veïnals.

Balanç:
 1 detingut
 1 investigat
 Més de 600 g d'haixix
 Diners en efectiu
 3 bàscules i estris per a la manipulació",14,2023-06-07T14:15:51.000Z
